# Lisa OS2.0.16.0.UKOCNXM stock QGKI core ABI oracle
# Source: stock msm_drm.ko / vendor_boot.img
module_layout 0xba39cbb8
device_register 0xcf9bcdee
device_unregister 0x4678e0d9
dev_driver_string 0x22a8544f
device_create 0xbebfb31d
__platform_driver_register 0x8a28799a
platform_driver_unregister 0xb1643fd1
platform_get_irq 0xbcc683a6
platform_get_resource 0x0b50f5aa
platform_get_resource_byname 0x67870233
__pm_runtime_resume 0xd7ceaec5
pm_runtime_enable 0x69233960
of_find_property 0x7bfb6ef3
of_get_property 0x3f86cb17
of_parse_phandle 0x5d8562ca
of_address_to_resource 0x6f7055af
of_device_is_compatible 0xb56ea40d
clk_get 0xf8127647
clk_register 0xab9a55da
iommu_attach_device 0x0c54e55f
iommu_map 0xa106c11d
iommu_unmap 0xe1da4443
regulator_get 0xf7c6097c
regulator_enable 0x691df2d6
regulator_set_voltage 0x54cdbf0a
kthread_create_on_node 0x947eb746
kthread_stop 0x97198f13
irq_domain_remove 0x160aa18c
irq_find_mapping 0x6fb78324
sysfs_create_group 0x0965d890
kobject_create_and_add 0x93a00376
__free_pages 0x419e8d31
adjust_managed_page_count 0xcf0c4b39
dma_direct_map_page 0x803f2855
dma_direct_map_sg 0x9e7457c3
dma_alloc_attrs 0x1c3c2bb3
dma_buf_attach 0x995856d1
dma_buf_map_attachment 0x3d20e038
